fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 112206	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1992	1	1	1	0.1	50	0.5	FALSE	838609	0.0101101916451108	0.704881254373001	0.0504149988873078	10.4900111228545	0.0218443466927929	15033	93454000	22
20221030 114030	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1996	1	1	1	0.1	50	0.5	FALSE	838609	0.0101469517980571	0.201250735064232	0.998492555000777	7.69104420449328	0.0124543502614103	18025	95070000	23
20221030 114726	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	210	1	1	1	0.1	50	0.5	FALSE	838609	0.19115173300733	0.798107576321442	0.910533680079581	11.970259794267	3.86830716989262e-06	15787	93466000	24
20221030 115139	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	480	1	1	1	0.1	50	0.5	FALSE	838609	0.0810132269724642	0.634554314067909	0.764425824047091	5.89177080677395	0.026774894439266	16527	93346000	25
20221030 115717	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	341	1	1	1	0.1	50	0.5	FALSE	838609	0.167998622954325	0.799540618173435	0.999778442025885	8.04991085292108	4.08617812841727e-05	16865	92910000	26
20221030 121139	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	385	1	1	1	0.1	50	0.5	FALSE	838609	0.09019795200068	0.200381955073847	0.999589156883744	11.3379784820532	7.18959216239718e-06	16403	96074000	27
20221030 130450	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	954	1	1	1	0.1	50	0.5	FALSE	838609	0.0245462906110509	0.480147787845769	0.559789854075051	11.9758663242584	8.75445324401822e-06	16333	96534000	28
20221030 130846	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	388	1	1	1	0.1	50	0.5	FALSE	838609	0.289898241248871	0.200476424728388	0.999532533809613	5.6364297530851	0.00856017489091799	16622	90516000	29
20221030 132818	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	825	1	1	1	0.1	50	0.5	FALSE	838609	0.010337671765492	0.442655216075257	0.999253479239141	8.94645198834191	0.0225136529250809	16012	94216000	30
20221030 145455	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3560	1	1	1	0.1	50	0.5	FALSE	838609	0.0100193852048128	0.20035671725457	0.610056203196174	10.7432717188096	1.01592865530275e-05	15315	97050000	31
20221030 150606	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	630	1	1	1	0.1	50	0.5	FALSE	838609	0.0974209091284299	0.389492335188182	0.465104617820199	11.0888095761101	3.43045033670582e-06	14868	95704000	32
20221030 155443	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	881	1	1	1	0.1	50	0.5	FALSE	838609	0.0258132961438786	0.200189074361103	0.802210575853718	11.9937299039811	1.48265663738023e-05	14691	97498000	33
20221030 155848	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	327	1	1	1	0.1	50	0.5	FALSE	838609	0.299951698837073	0.338198092705991	0.998884082014863	2.70765890725906	0.0571950836378731	15859	85802000	34
20221030 162339	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4100	1	1	1	0.1	50	0.5	FALSE	838609	0.0121885522102812	0.200622167706984	0.0549190567209098	4.48722834163616	0.0541582596509829	16288	87264000	35
20221030 164421	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3198	1	1	1	0.1	50	0.5	FALSE	838609	0.0101046284358618	0.799499285528894	0.205836970369466	7.61854698663694	0.0250759573213668	16358	94004000	36
20221030 173003	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1079	1	1	1	0.1	50	0.5	FALSE	838609	0.0100031526597883	0.421897711882157	0.998818612133009	10.8892137326191	0.00143328293997636	16600	94720000	37
