fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220925 040916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	781	TRUE	838609	0.00580855609615076	0.709129286506955	1340	85	7483	26080000	40
20220925 041134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232	TRUE	838609	0.0454841590244693	0.862700542846723	709	128	7597	26890000	41
20220925 041328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	201	TRUE	838609	0.0353879744390422	0.849427338298736	122	125	7363	25840000	42
20220925 041619	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	373	TRUE	838609	0.0251563643307079	0.804034886714575	925	172	7769	26550000	43
20220925 041654	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	838609	0.171854897551962	0.687795955825655	838	122	7566	25830000	44
20220925 041815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	161	TRUE	838609	0.0507321843624585	0.686941830809433	1003	132	7565	26310000	45
20220925 042144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	743	TRUE	838609	0.006247920836156	0.847378448535317	766	19	5423	24760000	46
20220925 042823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	822	TRUE	838609	0.00807481007275282	0.843478793557313	741	114	7848	26870000	47
20220925 043050	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	228	TRUE	838609	0.0194484449180387	0.868361104313663	708	120	7192	26500000	48
20220925 043629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	463	TRUE	838609	0.012199817216609	0.564186354335561	668	271	7227	26430000	49
20220925 043711	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	838609	0.104840283222487	0.510156086810504	2866	515	10882	2.6e+07	50
20220925 043911	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	159	TRUE	838609	0.0259461199075715	0.581897495388427	596	107	7697	26450000	51
20220925 044058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	188	TRUE	838609	0.0448451160665007	0.823955013843476	754	103	7593	26900000	52
20220925 044152	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	160	TRUE	838609	0.0597106060090709	0.905112604644801	1104	47	7743	26520000	53
20220925 044851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	714	TRUE	838609	0.0161505849834297	0.764198947183024	617	154	7541	2.7e+07	54
20220925 045528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	597	TRUE	838609	0.00790110309973168	0.775484922770422	784	282	7456	26450000	55
20220925 050133	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	923	TRUE	838609	0.00718314803434206	0.925069346690607	1658	198	7918	25930000	56
20220925 050421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	323	TRUE	838609	0.00960468949285342	0.421469615319993	1091	17	8067	26590000	57
20220925 050709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	378	TRUE	838609	0.0111855563137081	0.293395348607513	1965	18	7806	27030000	58
20220925 050750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	838609	0.0618785682085986	0.424903668350974	1952	31	7847	26150000	59
20220925 051108	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	407	TRUE	838609	0.0151966871261602	0.257055870834301	1251	462	7626	26830000	60
20220925 051227	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	139	TRUE	838609	0.0433903867951335	0.951165473055325	1381	293	7366	26390000	61
20220925 051604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	350	TRUE	838609	0.014103955553953	0.851843959741915	886	200	7652	26860000	62
20220925 051827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	447	TRUE	838609	0.0162706079494046	0.383357794801866	1133	16	7550	26740000	63
20220925 052245	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	675	TRUE	838609	0.0123761093673193	0.245355081103734	1537	133	11572	26140000	64
20220925 052706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	683	TRUE	838609	0.00998289652381422	0.227072113019727	1892	332	7541	26520000	65
20220925 052847	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	119	TRUE	838609	0.0215426682333896	0.285242738037744	1698	529	7855	27090000	66
20220925 052929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	838609	0.100224939272658	0.504094669519498	1672	239	10380	26200000	67
20220925 053129	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	182	TRUE	838609	0.0168846226601317	0.283145061057143	1617	303	7865	26670000	68
20220925 053252	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	154	TRUE	838609	0.0254357527239174	0.228467885369822	1964	659	7777	26930000	69
20220925 053453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	210	TRUE	838609	0.0235297811656669	0.309149141227578	1248	798	7485	26790000	70
20220925 053609	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	838609	0.0220797352338078	0.302663801448313	2115	21	7727	26630000	71
20220925 053752	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	200	TRUE	838609	0.0228495446308644	0.281724632945725	1821	669	8938	26850000	72
20220925 054125	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	264	TRUE	838609	0.01127953278062	0.823274079007574	796	125	12368	25510000	73
20220925 054410	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	403	TRUE	838609	0.0108340559890601	0.346200796260246	2578	23	7751	27060000	74
20220925 054638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	282	TRUE	838609	0.0113068936126416	0.413940351244761	2229	25	7588	26670000	75
20220925 054955	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	559	TRUE	838609	0.0104203315842464	0.276082766046618	2746	18	8365	27110000	76
20220925 055445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	823	TRUE	838609	0.00616907033367948	0.278044247856149	2672	18	7871	26820000	77
20220925 055753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	646	TRUE	838609	0.011703749596626	0.301169215127431	2557	18	9516	26810000	78
20220925 060030	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	365	TRUE	838609	0.0118279848946405	0.310473565149601	3027	32	7902	27080000	79
20220925 060221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	310	TRUE	838609	0.0119643303024875	0.807458383663752	493	25	7976	26770000	80
20220925 060321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	838609	0.0422057579525071	0.763120642533975	861	94	9024	26680000	81
20220925 060411	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	838609	0.063349350233563	0.800439657931732	726	263	9373	25820000	82
20220925 060549	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	206	TRUE	838609	0.0208270731008779	0.296621120153738	2657	813	7999	26730000	83
20220925 060702	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	838609	0.0278443783461941	0.320207957791001	1741	582	8028	27070000	84
20220925 060728	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	838609	0.117102209011154	0.495161755077536	3524	125	5077	23530000	85
